ကျောက်တံတား,ပန်းပဲတန်း,လမ်းမတော်,လသာ,ဒဂုံ,အလုံ,စမ်းချောင်း,ကြည့်မြင်တိုင်,ဗိုလ်တထောင်,ပုဇွန်တောင်,မင်္ဂလာတောင်ညွန့်,သာကေတ,ဒေါပုံ,တာမွေ,သင်္ဃန်းကျွန်း,ရန်ကင်း,တောင်ဥက္ကလာပ,ဗဟန်း,ကမာရွတ်,လှိုင်,မရမ်းကုန်း,မြောက်ဥက္ကလာပ,မြောက်ဒဂုံ,တောင်ဒဂုံ,အရှေ့ဒဂုံ,ဒဂုံဆိပ်ကမ်း,အင်းစိန်,လှိုင်သာယာအရှေ့ပိုင်း,လှိုင်သာယာအနောက်ပိုင်း,မင်္ဂလာဒုံ,ရွှေပြည်သာ,လှည်းကူး,မှော်ဘီ,ထန်းတပင်,တိုက်ကြီး,ဆိပ်ကြီးခနောင်တို,ဒလ,ကော့မှူး,ကွမ်းခြံကုန်း,တွံတေး,သန်လျင်,ကျောက်တန်း,ခရမ်း,သုံးခွ,ကိုကိုးကျွန်း
,,,,,,,ဝါးရုံဆိပ်/ အေးရွာ (အနောက်),,,,,,,စံပြ,,,ရွှေနံသာ,,,,,အမှတ် (၄၇),အမှတ် (၇၁),အမှတ် (၁၁၂),အမှတ် (၈၇),,,,ပဲခူးလမ်း,အမှတ် (၂၂),ဝါးနက်ကုန်း,ကုလားကုန်း (ဦးထွန်းလှအစု),အပြင်ရေကျော်,လောက်လေးချောင်း,,ရာဇသင်္ကြန်,ခလောင်,တော်ခရမ်းအရှေ့,တံခွန်တိုင်,ရုံးသပြေကန်,ဇွဲကနာ,အလယ်ရွာ,မင်း,
,,,,,,,,,,,,,,ကြီးပွားရေး,,,,,,,,အမှတ် (၄၈),အမှတ် (၇၂),အမှတ် (၁၁၃),အမှတ် (၈၈),,,,တိလောကရုံ,အမှတ် (၂၃),ရဲမွန်,မြို့ချောင်း,အတွင်းရေကျော်,သရက်ချောင်း,,ကျန်းမာရေးဝန်ထမ်းအိမ်ရာ,ကညင်ငူ,တော်ခရမ်းအနောက်,အဒွန်း,မင်္ဂလွန်း,အစဲ,အေးရွာ,အိဿယျ,
,,,,,,,,,,,,,,လေးထောင့်ကန်,,,,,,,,အမှတ် (၄၉),အမှတ် (၁၀၄),အမှတ် (၁၁၄),အမှတ် (၈၉),,,,လမ်းဆုံပိုင်း,အုပ်ဖို,ဇရပ်ကွင်း,ကံကလေး​ (အမ်),လှည်းဆိပ်,ကြိုက်စကိုင်း,,တာကြီး,ရှာဘွား,တောင်ကုန်း,တွံတေးဝ,ဘောသပြေကန်,မင်္ဂလွန်း,စွယ်ကတော့,သုံးခွ (အနောက်),
,,,,,,,,,,,,,,ရန်ကုန်သစ်,,,,,,,,အမှတ် (၅၀),အမှတ် (၁၀၅),အမှတ် (၁၁၅),အမှတ် (၉၀),,,,စျေးပိုင်း,ဇီးကုန်း,သူငယ့်ချောင်,မြောင်းတကာ,ဓါတ္တော်ကုန်း,ဂျိုးဖြူ,,ရခိုင်ချောင် (တောင်),တကူပုံ,တော်ကူးအရှေ့,ပသီ,ကရင်ဆိပ်,နရွဲချောင်,ပိန်းကန်,နံယော,
,,,,,,,,,,,,,,သုဝဏ္ဏ (၂၄),,,,,,,,အမှတ် (၅၁),အမှတ် (၁၀၆),အမှတ် (၁၁၆),အမှတ် (၉၁),,,,ရွာမပိုင်း,ကျောင်းကုန်း,အင်းတိုင်,ညောင်ကုန်း,မဲပလီ,ယင်းတိုက်ကွင်း,,ရခိုင်ချောင် (မြောက်),ငှက်အော်စမ်း,တော်ကူးအနောက်,ဇီးဖြူကုန်း,သပြေကုန်း,စစ်တပင်,လှဘီလူး,ပဒတ္တိုင်း,
,,,,,,,,,,,,,,သုဝဏ္ဏ (၂၅),,,,,,,,အမှတ် (၄၁) တိုးချဲ့,အမှတ် (၁၀၇),အမှတ် (၁၁၇),အမှတ် (၉၂),,,,ထောက်ကြံ့တိုးချဲ့,လှော်ကား,အလံဂပို,မြစ်ကျိုး,ကြမန်း,ဥတို,,ဓနုတ်စံပြ,နတ်ရေတွင်း,တောကျောင်း,ခလောက်ချိုက်,ပုဂံတောင်,မြကိုင်း,မကျီးကန်,လက်ပန်နန်းခလဲ,
,,,,,,,,,,,,,,သုဝဏ္ဏ (၂၉),,,,,,,,,အမှတ် (၁၄၀),အမှတ် (၁၁၈),အမှတ် (၉၃),,,,နွယ်ခွ,,စိုင်ဒီကုန်း,ရွှေမြယာကုန်း,ဘောလည်,သနတ်ချောင်းဘူတာ,,ညောင်ချောင်း,ဇရပ်ကုန်း,တော်ပြာ,ခရမ်းဝ,အလွန်းဆုတ်,ဘိုးဘ,ရိုးကြီး,စပါယ်ချောင်,
,,,,,,,,,,,,,,စုပေါင်းအိမ်ရာ,,,,,,,,,အမှတ် (၁၄၁),အမှတ် (၁၁၉),အမှတ် (၉၄),,,,ကုန်းတလဘောင်,,ကျီးကန်းသိုက်,ပေါက်ကုန်း,တလိုင်မှီ,အုပ်ပုံ,,တုံးတင်ဂံ (တောင်),ရွာတန်းရှည်,တော်လန်း,ခရမ်းကြီး,ကျောင်းကုန်းဆိပ်ကြီး (ခ) ဂျမား,သနပ္ပင်ချင်း,ကျုံတူး,ကြုံကြိတ်,
,,,,,,,,,,,,,,အောင်ဆုပန်,,,,,,,,,အမှတ် (၁၄၂),အမှတ် (၁၂၀),အမှတ် (၉၈),,,,ရွှေနံ့သာ,,စာဘူးတောင်း,သန္ဒေပင်,ကမြိုင်,ဖလုံကန်ကုန်း,,တုံးတင်ဂံ (မြောက်),ပိန္နဲကုန်း,တော်ခလူး,ခရမ်းဖျား,လက်ယက်စမ်း,ဘော်ဂလွတ်,တမံကြီး,ကဒပ်ပန,
,,,,,,,,,,,,,,(၁) မိကျောင်းကန်,,,,,,,,,အမှတ် (၁၄၃),အမှတ် (၁၂၁),အမှတ် (၁၄၈),,,,ပျဥ်းမပင်,,နန္တိ,ဘွက်ကြီး,ရွှေကြာဗျိုက်,ကြာအင်း,,ဘိုးဖြူချောင်း,အဖျောက်,တော်ခရမ်းလေး,ကလီထော်,သူဌေးကွင်း,ချောင်းဝ,ကမာကလုတ်,ဆယ်,
,,,,,,,,,,,,,,(၂) မိကျောင်းကန်,,,,,,,,,အမှတ် (၁၄၄),အမှတ် (၁၂၂),အမှတ် (၁၄၉),,,,သင်္ဃန်းကျွန်းကြီး,,ဒါးပိန် (တောင်),ဘိုးဒေါနကုန်း,ညွန့်ပေါင်း,ဆင်စခန်း,,ခနောင် (ရွာမ),ရေဖြူတွင်း,ထီဖာ,ကြည်တန်း,စစ်ပင်ကွင်း,ကွနှီး,ကရင်ကန်,သရောတော,
,,,,,,,,,,,,,,(၃) မိကျောင်းကန်,,,,,,,,,အမှတ် (၁၄၅),အမှတ် (၁၂၃),အမှတ် (၁၅၀),,,,,,ညောင်တခြမ်း,ညောင်နှစ်ပင်,ကုန်းလှည်းဆိပ်,ချင်းကုန်း,,ခနောင် (အထက်),နတ်စင်ကုန်း,ဒေးဒနော,တကလှဲ့,ဘယက်,ဇွဲဘာကုန်းတန်း,ကန်ညီနောင်,အဖောင်,
,,,,,,,,,,,,,,အမှတ် (၁၆/၁),,,,,,,,,အမှတ် (၁၄၆),အမှတ် (၁၂၄),အမှတ် (၁၅၁),,,,,,တံခွန်တိုင် (လှည်းကူး),ရိုးကြီး,တက်သစ်,လိမ္မော်ခြံ,,ခနောင် (ရှမ်းစု),မကျီးကန်,ဒရယ်လူး,ရေကျော်,ငါးဗြေမ,ညောင်ဝိုင်း,ကျွဲတလင်း,သဲကုန်း,
,,,,,,,,,,,,,,အမှတ် (၁၆/၂),,,,,,,,,အမှတ် (၁၄၇),အမှတ် (၁၂၅),အမှတ် (၁၆၈),,,,,,ကျွန်းကုန်း,မိုးကြိုးပစ်,ငှက်သိုက,ပုတ္တ,,တံတားချောင်း,မြောက်ချောင်,ပီလခတ်,တမာတေကာ,င/ပ ,ရေကျော်,သက္ကယ်ကုန်း,ကျားဘို,
,,,,,,,,,,,,,,အမှတ် (၁၆/၃),,,,,,,,,အမှတ် (၁၅၂),အမှတ် (၁၂၆),ကျီစု (အရှေ့),,,,,,ဆားတလင်း,ရေပေါ်သဲ့,စန္ဒယော်,ဖလုံဘူတာ,,ရဲချောင်း,စမ်းကောက်,ပကောက်,တမံကြီး,သနပ်ပင်,ကြာကန်,ခမတ်,အဇတ်ဝ,
,,,,,,,,,,,,,,အမှတ် (၁၆/၄),,,,,,,,,အမှတ် (၁၅၃),အမှတ် (၁၂၇),သရက်ပင်ချောင်,,,,,,သနပ်ပြင်,ယင်းတိုက်ပင်,ထိန်ကုန်း,စပါးကိုင်း,,သပြေကုန်း,တောင်ချောင်,ပေကုန်း,ကန်,ဗိုလ်ချုပ်,ပါဒကြီး,ကံဘဲ့,ဘုရားကြီး,
,,,,,,,,,,,,,,ဆယ်သိန်း,,,,,,,,,အမှတ် (၁၅၄),အမှတ် (၁၂၈),ညောင်ပင်,,,,,,ရှမ်းတဲကြီး (အထက်),သာယာကုန်း,ဝါးတရာ (အနောက်),တောင်ရပ်ဇီးကုန်း,,ညောင်ငုတ်တို,လာဝတီ,မှော်ဘီ,ကုလားတန်း,ညောင်သုံးပင်,ဥယျာဥ်,ညောင်ပင်ကွင်း,တမံကြီး,
,,,,,,,,,,,,,,,,,,,,,,,ကျီစု (အနောက်),အမှတ် (၁၂၉),ဒလဘမ်း,,,,,,ဝါးရုံစွန်း,သဲကုန်း,ရခိုင်ရိုးကြီး,ဂေါ့,,ထော် (အောက်),ဆပုဂံ,မယ်ရကုန်း,မငေး (အလယ်),ဘုရားကုန်း,ရွှေပျောက်,ပုဂံတောင်,အဇန်းတောစွန်း,
,,,,,,,,,,,,,,,,,,,,,,,ရွာသာကြီး (တောင်ပိုင်း),စစ်ပင် (တောင်),,,,,,,စွယ်လပ်,လိပ်ပုတ်တောရွာကြီး,ဒိတ်ကုန်း,ဥက္ကံရေသိုး,,ရဲချောင်းဝ,လက်ခိုက်,မန်းကလိပ်,ဗျောက်ရိုး,လဟာယက်,ပန်းတော,ပန်းတောချောင်,ဖရုံကန်,
,,,,,,,,,,,,,,,,,,,,,,,သုံးခွ (တောင်ပိုင်း),တောင်တလုပ်,,,,,,,ဖဲခမဲ,အထယု,ပရွတ်,ကျွဲဘုတ်,,ပျော်ဘွယ်ကြီး,ကြာကန်,မရမ်း,လက်ပံဂွ,ကဒက်ဖျာ,ရွာသစ်ကလေး,ဒေးပေါက်,မိချောင်းကန်,
,,,,,,,,,,,,,,,,,,,,,,,လေးထောင့်ကန် (တောင်ပိုင်း),ရွာသာကြီး (အရှေ့ပိုင်း),,,,,,,ဒါးပိန် (မြောက်),အင်လျက်,ကျွဲခြံရိုး (ကြိမ်ပိုက်ကြီး),ဒိုက်အင်း,,ရွှေလှေချောင်,ကိုးတောင်,ရေတိမ်,ကျွန်းကလေး,ညောင်လေးပင်,မီးပြ,ကရင်စု,တကော,
,,,,,,,,,,,,,,,,,,,,,,,စိုက်ပျိုးမွေးမြူရေး (၁),သုံးခွ (အရှေ့ပိုင်း),,,,,,,သခွတ်ပြင်,ဆတ်သွားတော,ရေစို,ပနီပင်,,ညောင်ပင်,မျက်ဆံနီ,လက်ခုပ်ကုန်း,အလပ်ချောင်း,ကုလားဝဲ,ကမာကလုပ်,ဘုရားပျို,လက်ပန်ကျိုး,
,,,,,,,,,,,,,,,,,,,,,,,ရှမ်းတဲကြီး (တောင်ပိုင်း),အမှတ် (၁၃၀),,,,,,,မအူ,,မြဂဲ,ရေတွင်းကုန်း,,ကျွဲလူးအိုင်,ဖရုံချောင်,ဝက်ကိုက်,ဂျောင်ဝိုင်း,ဆေးလုံးကြီး,ခနောင်,ကွင်းလျားရှည်,ရေပေါ်ကန်,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၁),,,,,,,တံခွန်တိုင် (အင်းစိန်),,ပန်းတိုင် (လက်ကြပ်),ဖလုံရွာမ,,သမ္ဘာန်ချောင်း,ကန်သုံးကန်,ဝါးကောက်တော,ပျော်ဘွယ်လေး,ချောင်းစောက်,စင်မကော်,ထရန်ကန်,သခွတ်ကုန်း,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၂),,,,,,,ဘားလားတံတားကြီး,,ကတွယ်,ကွမ်းခြံကုန်း,,ထူးကြီး,ထမ္မနိုင်,သုံးခွ,ပိတ်စွယ်,,ပန်းချောင်း,သပြုကန်,ရှမ်းစု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၃),,,,,,,ဆင်ဖုံ,,ကျွဲကူး,ကြီးပင်လဟာ,,သရောတန်း,ညောင်ပင်သာ,သပြုစမ်း,ရန်ကုန်ပေါက်,,တာပတ်,ပလူကန်,ကွန်ကလ,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၄),,,,,,,စစ်ပင် (မြောက်),,ဘူးသနွတ်,ဥက္ကံကံကုန်း,,,ဘို့ဒင်,သဲကုန်းတန်း,ကြိုက်သလဲ,,ကဒပ်ပန,တကောကန်,ပုဂံတောင်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၅),,,,,,,မလစ် (အနောက်),,မရွှေဥ,ဥက္ကံရွာမ,,,ပျားမွှတ်,သောင်ခုန်,ဘုရားကြီး,,ဝင်းကြီး,ကျီနီချောင်,ပတုပ်,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၆),,,,,,,ဇီးပင်ဝဲ,,အစုကြီး,မီးနင်းကံကုန်း,,,ဝါးဘလောက်သောက်,အင်္ဂလံုး,ပေါက်တော,,စစ်တန်း,ပျဥ်းမကုန်း,ဇွဲထော်,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၇),,,,,,,မုဆိုးညောင်ပင်,,တူးချောင်း,ကင်းပတီး,,,မဝန်း,,ဘုရားငုတ်တို (တောင်),,ပုတ္တလုပ်,ကြာကန်,ထုံးကြီး,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၈),,,,,,,လက်ပန်,,တော်လတဲ့,အိုင်ကြီး,,,ကျွဲလူးအိုင်,,ဘုရားငုတ်တို (မြောက်),,မရမ်းဘေး,ပလူ,ကုန်းခလာ,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၉),,,,,,,ပိုက်ကြီးဝဲ,,အလိန်လည်,ယင်းတိုက်လေးပင်,,,ကမာကနီး,,ကန်ဘဲ့,,ရှမ်းချောင်း,အောင်ချမ်းသာ,ကတုံးပေါ် (အထက်),
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၅၅),,,,,,,ဘိုးရင်ကလေး,,ကျူတော,ဘွက်ကုန်း,,,သခွတ်ပင်,,စမ်း,,တူးမြောင်း,ဘိုကလေး,ကတုံးပေါ် (အလယ်),
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၅၆),,,,,,,အဝိုင်း (အနောက်),,ကြာအင်း,တောင်ဘို့လှ,,,ကျုံဒရယ်,,အရိုးတောင်,,တမံကြီးကုန်း,ဆင်ကျွန်း,လက်ပံချောင်,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၅၇),,,,,,,မင်းကုန်း,,ဓနဲရိ,ဥက္ကံရှမ်းစု,,,ကျူတောချောင်,,ကျွန်းဘက်,,အောင်ချမ်းသာ,ကံကောင်း,မကျီးပင်ချောင်,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၅၈),,,,,,,ငါးဆူတောင်,,ဆတ်ကလေး,ပျဥ်းမကုန်း,,,ခရိုက်ခနိ,,ကပင်ကြီး,,ကုလားတန်း,ရေကျော်,ကိုင်းကုန်း,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၅၉),,,,,,,မရမ်းချောင်,,ရေဖြူ,ရေတာလေး,,,ထန်းတပင်,,ကျောင်းစု,,ဘိုကုန်း,အုန်းပင်,ကျွဲတဲကုန်း,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၆၀),,,,,,,ငွေနံ့သာ,,တံတားဦး,သပြေကုန်း,,,သမင်ခြံ,,အလယ်ချောင်း,,ဇီးဖြူပင်,ညောင်လန်း,ညောင်ပင်ခင်တန်း,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၆၁),,,,,,,,,,သာယာကုန်း,,,တာတိုက်,,ဂယက်လမီး,,,ဆင်မင်းအိုင်,အလန်းကုန်း,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၆၂),,,,,,,,,,ကမ်းမြောင်,,,ဆားတိုင်မွှတ်,,ရွှေလှေချောင် (တွံ),,,ကင်းမွန်းခြုံ,စစ်ကုန်းတောစွန်း,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၆၃),,,,,,,,,,တဘူးရေသိုး,,,သရက်တော,,ပြဿတိုက,,,ဇီးဖြူပင်,တင်းတောင်းချောင်,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၆၄),,,,,,,,,,ဂုံညင်းတန်း,,,,,အတွင်းရေကျော်,,,ကျုံကန်,မှိုကုန်းသာ,
,,,,,,,,,,,,,,,,,,,,,,,,ရှမ်းတဲကြီး,,,,,,,,,,စမ်း,,,,,ကဒုံ,,,ညောင်ပင်သာ,အောင်ပန်းစိန်,
,,,,,,,,,,,,,,,,,,,,,,,,မလစ်,,,,,,,,,,ချောင်းစောက်,,,,,ငှက်ပျောစမ်း,,,စခန်းကြီး,အောင်သာဒန်း,
,,,,,,,,,,,,,,,,,,,,,,,,လေးထောင့်ကန်,,,,,,,,,,ကြိုချောင်း,,,,,ခလုပ်,,,ကံသာ,သြဘာညွန့်,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ပန်းပင်တန်း,,,,,ဝက်ချောင်း,,,,ဘိတ်သိတ်,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,တော်လတီ,,,,,ရှမ်းစု,,,,မဟာမိတ်,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ဖက်ဝန်းကုန်း,,,,,ထော်သို,,,,ဟေမဇလာ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,အလဘုတ်,,,,,မရမ်းတပင,,,,မင်းရွာအသင်း,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,မင်းလှဝ,,,,,မာလကာရာဘာခွံ,,,,သမ္မစိတ္တ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ဆင်ခြံ,,,,,တလုတ္ထော်,,,,သာသာမြိုင်,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,တော်ခရမ်း,,,,,ရန်ကုန်ရာဘာခြံ,,,,သာဂရ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ခွန်နှစ်ကြိုက် (အရှေ့),,,,,,,,,ထွန်းစိန်အသင်း,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ခွန်နှစ်ကြိုက် (အနောက်),,,,,,,,,ဇောတိက,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,လှိုင်,,,,,,,,,ရန်ကြီးအောင်,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ဘိန္ဒော,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ကန်ကလေး (အေ) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ဘောလကွတ်,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ချောင်းသုံးခွ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ကလော့သော့,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ကြုံတကင်း,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,အင်းတရာ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,အောက်ရေကန်ကုန်း,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ကတိုင်စိန်,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ဖိုးခေါင်,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,အထရောင်,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ရေတွင်းဖြူ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ရေပေါ်သောင်,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ကြွေပန်းကန်ချောင်း,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ငါးလာချောင်း,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,သဲဖြူ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,မိုးကုလား,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,အုန်းပင်ကွင်း,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,မလေးရှားဝိုင်,,,,,,,,,,
