ကျောက်တံတား,ပန်းပဲတန်း,လမ်းမတော်,လသာ,ဒဂုံ,အလုံ,စမ်းချောင်း,ကြည့်မြင်တိုင်,ဗိုလ်တထောင်,ပုဇွန်တောင်,မင်္ဂလာတောင်ညွန့်,သာကေတ,ဒေါပုံ,တာမွေ,သင်္ဃန်းကျွန်း,ရန်ကင်း,တောင်ဥက္ကလာပ,ဗဟန်း,ကမာရွတ်,လှိုင်,မရမ်းကုန်း,မြောက်ဥက္ကလာပ,မြောက် ဒဂုံ,တောင်ဒဂုံ,အရှေ့ဒဂုံ,ဒဂုံဆိပ်ကမ်း,အင်းစိန်,လှိုင်သာယာအရှေ့ပိုင်း,လှိုင်သာယာအနောက်ပိုင်း,မင်္ဂလာဒုံ,ရွှေပြည်သာ,လှည်းကူး,မှော်ဘီ,ထန်းတပင်,တိုက်ကြီး,ဆိပ်ကြီးခနောင်တို,ဒလ,ကော့မှူး,ကွမ်းခြံကုန်း,တွံတေး,သန်လျင်,ကျောက်တန်း,ခရမ်း,သုံးခွ,ကိုကိုးကျွန်း
,,မော်တင်ယာယီစျေးရပ်ကွက်,,,,ရှင်စောပုရပ်ကွက်,စျေးကလေးရပ်ကွက်,,,တောင်လုံးပြန်ရပ်ကွက်,၇/အနောက် ရပ်ကွက်,ဇေယျာသီရိ ရပ်ကွက်,ဗျိုင်းရေအိုးစင်ရွာမရပ်ကွက်,နနွင်းကုန်း ရပ်ကွက်,အမှတ် (၁၄) ရပ်ကွက်,အမှတ် (၁၅) ရပ်ကွက်,အရှေ့ရွှေဂုံတိုင်ရပ်ကွက်,,အမှတ် (၁၃) ရပ်ကွက် ,,ဋ ရပ်ကွက်,အမှတ် (၃၈) ရပ်ကွက်,အမှတ် (၅၅) ရပ်ကွက်,အမှတ် (၁၃) ရပ်ကွက် ,အမှတ် (၇၈) ရပ်ကွက်,နံ့သာကုန်းရပ်ကွက်,ညောင်ကျေးရွာအုပ်စု,ကုလားကြီးစုကျေးရွာအုပ်စု,ပြည်တော်သာရပ်ကွက်,အမှတ် (၁၃) ရပ်ကွက် ,ကျုံးကလေးကျေးရွာအုပ်စု,မှော်ဘီချောင်းဝကျေးရွာအုပ်စု,ရေတွင်းကုန်းကျေးရွာအုပ်စု,ဗန္ဓုလရပ်ကွက်,,စက်မြေရပ်ကွက်,ကျိုက်ထော် (မြောက်) ကျေးရွာအုပ်စု,ကညင်ကုန်းကျေးရွာအုပ်စု,ကျွဲဒရွတ်ကျေးရွာအုပ်စု,မြို့မမြောက်ရပ်ကွက်,အမှတ် (၃) ရပ်ကွက်,ကွမ်းမိုးဒိန်းရပ်ကွက်,ကျေးရွာအုပ်စုများ,
,,,,,,အောင်ချမ်းသာရပ်ကွက်,ပန်းလှိုင်ရပ်ကွက်,,,ရေတွင်းကုန်းရပ်ကွက်,၈/ ရပ်ကွက်,သင်္ဘောကျင်း ရပ်ကွက်,မလွှကုန်းဌေးကြွယ် (က) ရပ်ကွက်,ဆ/က ရပ်ကွက်,အမှတ် (၁၅) ရပ်ကွက်,,အလယ်ရွှေဂုံတိုင်ရပ်ကွက်,,အမှတ် (၁၄) ရပ်ကွက်,,ဌ ရပ်ကွက်,အမှတ် (၃၉) ရပ်ကွက်,အမှတ် (၅၆) ရပ်ကွက်,အမှတ် (၁၄) ရပ်ကွက်,အမှတ် (၇၉) ရပ်ကွက်,တောင်သူကုန်းရပ်ကွက်,ရှမ်းချောင်းကျေးရွာအုပ်စု,အလယ်ကျေးရွာအုပ်စု,တောတိုက်ရပ်ကွက်,အမှတ် (၁၄) ရပ်ကွက်,သာယာကုန်းကျေးရွာအုပ်စု,နှောကုန်းကျေးရွာအုပ်စု,သဘော့ချောင်းကျေးရွာအုပ်စု,ဗိုလ်ချုပ်အောင်ဆန်းရပ်ကွက်,,ကမာကသွယ်ရပ်ကွက်,ကျိုက်ထော် (တောင်) ကျေးရွာအုပ်စု,ကြခတ်ကုန်းကြီးကျေးရွာအုပ်စု,ကရင်ချောင်းကျေးရွာအုပ်စု,အောင်မင်္ဂလာရပ်ကွက်,အမှတ် (၄) ရပ်ကွက် ,ကျေးရွာအုပ်စုများ,ပုလဲကျေးရွာအုပ်စု,
,,,,,,သီရိခေမာရပ်ကွက်,ထီးတန်းစက်မြေရပ်ကွက်,,,သပြေကုန်းရပ်ကွက်,၉/ ရပ်ကွက်,,နတ်ချောင်းရပ်ကွက်,ဆ/ခ ရပ်ကွက်,အမှတ် (၁၆) ရပ်ကွက်,,ကိုယ့်မင်းကိုယ့်ချင်းရပ်ကွက်,,အမှတ် (၁၅) ရပ်ကွက်,,တံတားကြီးရပ်ကွက်,အမှတ် (၄၀) ရပ်ကွက်,အမှတ် (၅၇) ရပ်ကွက်,အမှတ် (၁၅) ရပ်ကွက်,အမှတ် (၈၀) ရပ်ကွက်,ရွာမ (အရှေ့) ရပ်ကွက်,ရေဥက္ကံကျေးရွာအုပ်စု,အတွင်းပဒံကျေးရွာအုပ်စု,ထောက်ကြံ့ (တောင်ပိုင်း) ရပ်ကွက်,အမှတ် (၁၅) ရပ်ကွက်,ကြာအင်း (အနောက်) ကျေးရွာအုပ်စု,ဘန့်ဘွေးကုန်းကျေးရွာအုပ်စု,ဒေါင့်ကြီးကျေးရွာအုပ်စု,ဆင်ဖြူရှင်ရပ်ကွက်,,ကမာကဆစ်ရပ်ကွက်,အောက်ကျောင်းကျေးရွာအုပ်စု,ကြခတ်ကုန်းလေးကျေးရွာအုပ်စု,ခနောင်ထိန်တပင်ကျေးရွာအုပ်စု,ဒါရ်ဂါရပ်ကွက်,ကျေးရွာအုပ်စုများ,ပေါက်ပင်ကျေးရွာအုပ်စု,ညောင်နီကျေးရွာအုပ်စု,
,,,,,,ဟုမ်းလမ်းဘူတာရပ်ကွက်,ကရင်အမျိုးသားရပ်ကွက်,,,သာယာကုန်းရပ်ကွက်,၁၀/တောင် ရပ်ကွက်,,တာမွေကြီး (က+ဂ) ရပ်ကွက်,ဇ/တောင် ရပ်ကွက်,,,ငါးထပ်ကြီး (အနောက်/ရေလယ်) ရပ်ကွက်,,အမှတ် (၁၆) ရပ်ကွက်,,ကျောက်ရေတွင်းရပ်ကွက်,အမှတ် (၄၁) ရပ်ကွက်,အမှတ် (၆၂) ရပ်ကွက်,အမှတ် (၁၆) အရှေ့ပိုင်း ရပ်ကွက်,အမှတ် (၈၁) ရပ်ကွက်,ရွာမ (အလယ်) ရပ်ကွက်,,အပြင်ပဒံကျေးရွာအုပ်စု,ထောက်ကြံ့ (မြောက်ပိုင်း) ရပ်ကွက်,အမှတ် (၁၆) ရပ်ကွက်,ကျောက်ကုဒင်ကျေးရွာအုပ်စု,လှည်းငုတ်ချောင်းကျေးရွာအုပ်စု,နဲဗျောကျေးရွာအုပ်စု,ဘုရင့်နောင်ရပ်ကွက်,,မှော်စက်ရပ်ကွက်,သမဲ့ကျေးရွာအုပ်စု,ကန့်မလာကျေးရွာအုပ်စု,စာဖြူစုကျေးရွာအုပ်စု,ရေနံရပ်ကွက်,ကန်ပြောင်ကျေးရွာအုပ်စု,ကမာမတ်ကျေးရွာအုပ်စု,ရွာသစ်ကျေးရွာအုပ်စု,
,,,,,,မြေနီကုန်း (မြောက်) ရပ်ကွက်,ဆေးရိုးတန်းငြိမ်းချမ်းရေးရပ်ကွက်,,,ပုသိမ်ညွန့်ရပ်ကွက်,၁၀/မြောက် ရပ်ကွက်,,တာမွေကြီး (ခ) ရပ်ကွက်,ဇ/မြောက် ရပ်ကွက်,,,ငါးထပ်ကြီး (မြောက်) ရပ်ကွက်,,,,ပုရွက်ဆိတ်ကုန်းရပ်ကွက်,အမှတ် (၄၂) ရပ်ကွက်,အမှတ် (၆၃) ရပ်ကွက်,အမှတ် (၅၂) ရပ်ကွက်,အမှတ် (၈၂) ရပ်ကွက်,ရွာမ (အနောက်) ရပ်ကွက်,,,ပ-စံပြရပ်ကွက်,အမှတ် (၁၇) ရပ်ကွက်,ကလီထော် (အနောက်) ကျေးရွာအုပ်စု,ဖူးကြီးကျေးရွာအုပ်စု,ပက်အင်းကလေးကျေးရွာအုပ်စု,မင်းရဲကျော်စွာရပ်ကွက်,,ဆာပါချောင်/ ကျောင်းစုရပ်ကွက်,ကျုံလတာကျေးရွာအုပ်စု,ခလောက်တရာကျေးရွာအုပ်စု,ရေတွင်းကုန်းကျေးရွာအုပ်စု,အောင်ချမ်းသာရပ်ကွက်,ပီလခက်ကျေးရွာအုပ်စု,မက္ကသန်ကျေးရွာအုပ်စု,သိုက်တူးကန်ကျေးရွာအုပ်စု,
,,,,,,မြေနီကုန်း (တောင်) ရပ်ကွက်,သီတာရပ်ကွက်,,,မလွှကုန်းမီးရထားရပ်ကွက်,စက်မှုလက်မှု ရပ်ကွက်,,မေတ္တာညွန့်ရပ်ကွက်,ဇဝန ရပ်ကွက်,,,ငါးထပ်ကြီး (တောင်) ရပ်ကွက်,,,,ဝေဘာဂီမြို့သစ်ရပ်ကွက်,အမှတ် (၄၃) ရပ်ကွက်,အမှတ် (၆၄) ရပ်ကွက် ,အမှတ် (၁၀၈) ရပ်ကွက်,အမှတ် (၈၃) ရပ်ကွက်,ဖော့ကန်ရပ်ကွက်,,,ဒု-စံပြရပ်ကွက်,အမှတ် (၁၈) ရပ်ကွက်,ကလီထော် (အရှေ့) ကျေးရွာအုပ်စု,လက်ပံတန်းစုကျေးရွာအုပ်စု,ကျားဟုန်းကျေးရွာအုပ်စု,အဖျောက်မြို့,,ကျန်စစ်သားရပ်ကွက်,ပုပ္ပါးကျေးရွာအုပ်စု,ငှက်ကြီးဒေါင်ကျေးရွာအုပ်စု,တူးချောင်းကြီးကျေးရွာအုပ်စု,ကျေးရွာအုပ်စုများ,ကျုံကန်ကျေးရွာအုပ်စု,ကျုံးကျုံးကျကျေးရွာအုပ်စု,ကံမြင့်ကျေးရွာအုပ်စု,
,,,,,,,အေးရွာဘလုတ်ညွန့်စက်ကလေးရပ်ကွက်,,,စက်ဆန်းရပ်ကွက်,ရှုခင်းသာ ရပ်ကွက်,,တာမွေလေးရပ်ကွက်,ကျိုက္ကဆံ/အနောက် ရပ်ကွက်,,,ဗိုလ်ချို အမှတ် (၁) ရပ်ကွက်,,,,ရွှေပေါက္ကံမြို့သစ်ရပ်ကွက်,အမှတ် (၄၄) ရပ်ကွက် ,အမှတ် (၆၅) ရပ်ကွက်,အမှတ် (၁၀၉) ရပ်ကွက်,အမှတ် (၈၄) ရပ်ကွက် ,စဥ့်ငူရပ်ကွက်,,,ရဲစုတောင်ရပ်ကွက်,အမှတ် (၁၉) ရပ်ကွက်,ဟိုင်းကူးကျေးရွာအုပ်စု,ဝါးပတောကျေးရွာအုပ်စု,ချောင်းညီအကိုကျေးရွာအုပ်စု,အမှတ် (၁) ရပ်ကွက်,,တပင်ရွှေထီးရပ်ကွက်,မှော်တောကျေးရွာအုပ်စု,တိုက်ကြီးကျေးရွာအုပ်စု,မဝန်းကျေးရွာအုပ်စု,ဝင်းခနီးကျေးရွာအုပ်စု,ဝဲကြီးကျေးရွာအုပ်စု,အုပ်ဖိုကျေးရွာအုပ်စု,ပျဥ်းမကန်ကျေးရွာအုပ်စု,
,,,,,,,စက်ဆန်းအောက်ရုံအလတ်ချောင်းရပ်ကွက်,,,ကူးတို့ဆိပ်ရပ်ကွက်,,,မာန်အောင်ရပ်ကွက်,ဘဝမြင့် ရပ်ကွက်,,,ဗိုလ်ချို အမှတ် (၂) ရပ်ကွက်,,,,,အမှတ် (၄၅) ရပ်ကွက်,အမှတ် (၆၆) ရပ်ကွက်,အမှတ် (၁၁၀) ရပ်ကွက်,အမှတ် (၈၅) ရပ်ကွက်,အောင်ဆန်းရပ်ကွက်,,,ဘောလုံးကွင်းရပ်ကွက်,အမှတ် (၂၀) ရပ်ကွက်,စခမ်းကြီးကျေးရွာအုပ်စု,ဝါးနက်ချောင်းဘူတာကျေးရွာအုပ်စု,နဲသမိန်ကျေးရွာအုပ်စု,အမှတ် (၂) ရပ်ကွက်,,ဘုရင့်နောင်ရပ်ကွက်,ဝါးသိင်္ခကျေးရွာအုပ်စု,ဆူးကလပ်ကျေးရွာအုပ်စု,ကြည်ဆိပ်ကျေးရွာအုပ်စု,ဖားကူး (အရှေ့) ကျေးရွာအုပ်စု,ရွာသစ်ကြီးကျေးရွာအုပ်စု,မောင်းမကျေးရွာအုပ်စု,ရဲနွဲ့ကျေးရွာအုပ်စု,
,,,,,,,ဆိပ်ကြီးဦးမြငါးစင်ရပ်ကွက်,,,,,,,ငမိုးရိပ် ရပ်ကွက်,,,ဆရာစံရပ်ကွက်,,,,,အမှတ် (၄၆) ရပ်ကွက်,အမှတ် (၇၀) ရပ်ကွက်,အမှတ် (၁၁၁) ရပ်ကွက်,အမှတ် (၈၆) ရပ်ကွက်,တညင်းကုန်းရပ်ကွက်,,,ဧကရာဇ်ရပ်ကွက်,အမှတ် (၂၁) ရပ်ကွက်,အုန်းနှဲကုန်းကျေးရွာအုပ်စု,အောက်ဝါးနက်ချောင်းကျေးရွာအုပ်စု,ဖိုးနတ်ပေးကျေးရွာအုပ်စု,အမှတ် (၃) ရပ်ကွက်,,ဗညားဒလရပ်ကွက်,မဆယ်ဆိပ်ကျေးရွာအုပ်စု,ဆိပ်ကြီးကျေးရွာအုပ်စု,တက်သစ်ကျေးရွာအုပ်စု,ဖားကူး (အနောက်) ကျေးရွာအုပ်စု,ကြံပင်ကျေးရွာအုပ်စု,ကြူတောကျေးရွာအုပ်စု,ကျားဝင်းကျေးရွာအုပ်စု,
,,,,,,,ဝါးရုံဆိပ်/ အေးရွာ (အနောက်) ရပ်ကွက်,,,,,,,စံပြ ရပ်ကွက်,,,ရွှေနံ့သာရပ်ကွက်,,,,,အမှတ် (၄၇) ရပ်ကွက်,အမှတ် (၇၁) ရပ်ကွက်,အမှတ် (၁၁၂) ရပ်ကွက်,အမှတ် (၈၇) ရပ်ကွက်,,,,ပဲခူးလမ်းရပ်ကွက်,အမှတ် (၂၂) ရပ်ကွက် ,ပဲနန်းတုတ်ကျေးရွာအုပ်စု,အင်ကြင်းကုန်းကျေးရွာအုပ်စု,စံကင်းကြီးကျေးရွာအုပ်စု,အမှတ် (၄) ရပ်ကွက် ,,ရာဇသင်္ကြန်ရပ်ကွက်,တလုတ်ထော်ကျေးရွာအုပ်စု,ညောင်ငူကျေးရွာအုပ်စု,သဝန်းတောကျေးရွာအုပ်စု,ဒေးဇတ်ကျေးရွာအုပ်စု,သောင်ကြီးကျေးရွာအုပ်စု,ကမာချိုက်ကျေးရွာအုပ်စု,ဘန့်ဘွေးကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,ကြီးပွားရေး ရပ်ကွက်,,,,,,,,အမှတ် (၄၈) ရပ်ကွက်,အမှတ် (၇၂) ရပ်ကွက်,အမှတ် (၁၁၃) ရပ်ကွက် ,အမှတ် (၈၈) ရပ်ကွက်,,,,တိလောကရုံရပ်ကွက်,အမှတ် (၂၃) ရပ်ကွက်,ဝါးနက်ကုန်းကျေးရွာအုပ်စု,ကုလားကုန်း (ဦးထွန်းလှအစု) ကျေးရွာအုပ်စု,အပြင်ရေကျော်ကျေးရွာအုပ်စု,ကျေးရွာအုပ်စုများ,,ကျန်းမာရေးဝန်ထမ်းအိမ်ရာရပ်ကွက်,ခလောင်ကျေးရွာအုပ်စု,တော်ခရမ်းအရှေ့ကျေးရွာအုပ်စု,တံခွန်တိုင်ကျေးရွာအုပ်စု,ရုံးသပြေကန်ကျေးရွာအုပ်စု,ကရင်ချောင်ကျေးရွာအုပ်စု,အလယ်ရွာကျေးရွာအုပ်စု,မင်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,လေးထောင့်ကန် ရပ်ကွက်,,,,,,,,အမှတ် (၄၉) ရပ်ကွက်,အမှတ် (၁၀၄) ရပ်ကွက်,အမှတ် (၁၁၄) ရပ်ကွက်,အမှတ် (၈၉) ရပ်ကွက်,,,,လမ်းဆုံပိုင်းရပ်ကွက်,ကျေးရွာအုပ်စုများ,ရဲမွန်ကျေးရွာအုပ်စု,မြို့ချောင်းကျေးရွာအုပ်စု,အတွင်းရေကျော်ကျေးရွာအုပ်စု,တာဂွကျေးရွာအုပ်စု,,တာကြီးရပ်ကွက်,ကညင်ငူကျေးရွာအုပ်စု,တော်ခရမ်းအနောက်ကျေးရွာအုပ်စု,အဒွန်းကျေးရွာအုပ်စု,မင်္ဂလွန်းကျေးရွာအုပ်စု,ဇွဲကနာကျေးရွာအုပ်စု,အေးရွာကျေးရွာအုပ်စု,အိဿယျကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,ရန်ကုန်သစ် ရပ်ကွက်,,,,,,,,အမှတ် (၅၀) ရပ်ကွက်,အမှတ် (၁၀၅) ရပ်ကွက်,အမှတ် (၁၁၅) ရပ်ကွက်,အမှတ် (၉၀) ရပ်ကွက်,,,,စျေးပိုင်းရပ်ကွက်,အုပ်ဖိုကျေးရွာအုပ်စု,ဇရပ်ကွင်းကျေးရွာအုပ်စု,ကံကလေး​ (အမ်) ကျေးရွာအုပ်စု,လှည်းဆိပ်ကျေးရွာအုပ်စု,လောက်လေးချောင်းကျေးရွာအုပ်စု,,ကျေးရွာအုပ်စုများ,ရှာဘွားကျေးရွာအုပ်စု,တောင်ကုန်းကျေးရွာအုပ်စု,တွံတေးဝကျေးရွာအုပ်စု,ဘောသပြေကန်ကျေးရွာအုပ်စု,အစဲကျေးရွာအုပ်စု,စွယ်ကတော့ကျေးရွာအုပ်စု,သုံးခွ (အနောက်) ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,သုဝဏ္ဏ (၂၄) ရပ်ကွက်,,,,,,,,အမှတ် (၅၁) ရပ်ကွက်,အမှတ် (၁၀၆) ရပ်ကွက်,အမှတ် (၁၁၆) ရပ်ကွက်,အမှတ် (၉၁) ရပ်ကွက်,,,,ရွာမပိုင်းရပ်ကွက်,ဇီးကုန်းကျေးရွာအုပ်စု,သူငယ့်ချောင်ကျေးရွာအုပ်စု,မြောင်းတကာကျေးရွာအုပ်စု,ဓါတ္တော်ကုန်းကျေးရွာအုပ်စု,သရက်ချောင်းကျေးရွာအုပ်စု,,ရခိုင်ချောင် (တောင်) ကျေးရွာအုပ်စု,တကူပုံကျေးရွာအုပ်စု,တော်ကူးအရှေ့ကျေးရွာအုပ်စု,ပသီကျေးရွာအုပ်စု,ကရင်ဆိပ်ကျေးရွာအုပ်စု,မင်္ဂလွန်းကျေးရွာအုပ်စု,ပိန်းကန်ကျေးရွာအုပ်စု,နံယောကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,သုဝဏ္ဏ (၂၅) ရပ်ကွက်,,,,,,,,အမှတ် (၄၁) တိုးချဲ့ ရပ်ကွက်,အမှတ် (၁၀၇) ရပ်ကွက်,အမှတ် (၁၁၇) ရပ်ကွက်,အမှတ် (၉၂) ရပ်ကွက်,,,,ထောက်ကြံ့တိုးချဲ့ရပ်ကွက်,ကျောင်းကုန်းကျေးရွာအုပ်စု,အင်းတိုင်ကျေးရွာအုပ်စု,ညောင်ကုန်းကျေးရွာအုပ်စု,မဲပလီကျေးရွာအုပ်စု,ကြိုက်စကိုင်းကျေးရွာအုပ်စု,,ရခိုင်ချောင် (မြောက်) ကျေးရွာအုပ်စု,ငှက်အော်စမ်းကျေးရွာအုပ်စု,တော်ကူးအနောက်ကျေးရွာအုပ်စု,ဇီးဖြူကုန်းကျေးရွာအုပ်စု,သပြေကုန်းကျေးရွာအုပ်စု,နရွဲချောင်ကျေးရွာအုပ်စု,လှဘီလူးကျေးရွာအုပ်စု,ပဒတ္တိုင်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,သုဝဏ္ဏ (၂၉) ရပ်ကွက်,,,,,,,,,အမှတ် (၁၄၀) ရပ်ကွက်,အမှတ် (၁၁၈) ရပ်ကွက်,အမှတ် (၉၃) ရပ်ကွက်,,,,ကျေးရွာအုပ်စုများ,လှော်ကားကျေးရွာအုပ်စု,အလံဂပိုကျေးရွာအုပ်စု,မြစ်ကျိုးကျေးရွာအုပ်စု,ကြမန်းကျေးရွာအုပ်စု,ဂျိုးဖြူကျေးရွာအုပ်စု,,ဓနုတ်စံပြကျေးရွာအုပ်စု,နတ်ရေတွင်းကျေးရွာအုပ်စု,တောကျောင်းကျေးရွာအုပ်စု,ခလောက်ချိုက်ကျေးရွာအုပ်စု,ပုဂံတောင်ကျေးရွာအုပ်စု,စစ်တပင်ကျေးရွာအုပ်စု,မကျီးကန်ကျေးရွာအုပ်စု,လက်ပန်နန်းခလဲကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,စုပေါင်းအိမ်ရာ ရပ်ကွက်,,,,,,,,,အမှတ် (၁၄၁) ရပ်ကွက်,အမှတ် (၁၁၉) ရပ်ကွက်,အမှတ် (၉၄) ရပ်ကွက် ,,,,နွယ်ခွေကျေးရွာအုပ်စု,,စိုင်ဒီကုန်းကျေးရွာအုပ်စု,ရွှေမြယာကုန်းကျေးရွာအုပ်စု,ဘောလည်ကျေးရွာအုပ်စု,ယင်းတိုက်ကွင်းကျေးရွာအုပ်စု,,ညောင်ချောင်းကျေးရွာအုပ်စု,ဇရပ်ကုန်းကျေးရွာအုပ်စု,တော်ပြာကျေးရွာအုပ်စု,ခရမ်းဝကျေးရွာအုပ်စု,အလွန်းဆုတ်ကျေးရွာအုပ်စု,မြကိုင်းကျေးရွာအုပ်စု,ရိုးကြီးကျေးရွာအုပ်စု,စပါယ်ချောင်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,အောင်ဆုပန် ရပ်ကွက်,,,,,,,,,အမှတ် (၁၄၂) ရပ်ကွက်,အမှတ် (၁၂၀) ရပ်ကွက်,အမှတ် (၉၈) ရပ်ကွက်,,,,ကုန်းတလဘောင်ကျေးရွာအုပ်စု,,ကျီးကန်းသိုက်ကျေးရွာအုပ်စု,ပေါက်ကုန်းကျေးရွာအုပ်စု,တလိုင်မှီကျေးရွာအုပ်စု,ဥတိုကျေးရွာအုပ်စု,,တုံးတင်ဂံ (တောင်) ကျေးရွာအုပ်စု,ရွာတန်းရှည်ကျေးရွာအုပ်စု,တော်လန်းကျေးရွာအုပ်စု,ခရမ်းကြီးကျေးရွာအုပ်စု,ကျောင်းကုန်းဆိပ်ကြီး (ခ) ဂျမားကျေးရွာအုပ်စု,ဘိုးဘကျေးရွာအုပ်စု,ကျုံတူးကျေးရွာအုပ်စု,ကြုံကြိတ်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,မိကျောင်းကန် အမှတ် (၁) ရပ်ကွက်,,,,,,,,,အမှတ် (၁၄၃) ရပ်ကွက် ,အမှတ် (၁၂၁) ရပ်ကွက်,အမှတ် (၁၄၈) ရပ်ကွက်,,,,ရွှေနံ့သာကျေးရွာအုပ်စု,,စာဘူးတောင်းကျေးရွာအုပ်စု,သန္ဒေပင်ကျေးရွာအုပ်စု,ကမြိုင်ကျေးရွာအုပ်စု,သနတ်ချောင်းဘူတာကျေးရွာအုပ်စု,,တုံးတင်ဂံ (မြောက်) ကျေးရွာအုပ်စု,ပိန္နဲကုန်းကျေးရွာအုပ်စု,တော်ခလူးကျေးရွာအုပ်စု,ခရမ်းဖျားကျေးရွာအုပ်စု,လက်ယက်စမ်းကျေးရွာအုပ်စု,သနပ္ပင်ချင်းကျေးရွာအုပ်စု,တမံကြီးကျေးရွာအုပ်စု,ကဒပ်ပနကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,မိကျောင်းကန် အမှတ် (၂) ရပ်ကွက်,,,,,,,,,အမှတ် (၁၄၄) ရပ်ကွက်,အမှတ် (၁၂၂) ရပ်ကွက် ,အမှတ် (၁၄၉) ရပ်ကွက်,,,,ပျဥ်းမပင်ကျေးရွာအုပ်စု,,နန္တိကျေးရွာအုပ်စု,ဘွက်ကြီးကျေးရွာအုပ်စု,ရွှေကြာဗျိုက်ကျေးရွာအုပ်စု,အုပ်ပုံကျေးရွာအုပ်စု,,ဘိုးဖြူချောင်းကျေးရွာအုပ်စု,အဖျောက်ကျေးရွာအုပ်စု,တော်ခရမ်းလေးကျေးရွာအုပ်စု,ကလီထော်ကျေးရွာအုပ်စု,သူဌေးကွင်းကျေးရွာအုပ်စု,ဘော်ဂလွတ်ကျေးရွာအုပ်စု,ကမာကလုတ်ကျေးရွာအုပ်စု,ဆယ်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,မိကျောင်းကန် အမှတ် (၃) ရပ်ကွက်,,,,,,,,,အမှတ် (၁၄၅) ရပ်ကွက်,အမှတ် (၁၂၃) ရပ်ကွက်,အမှတ် (၁၅၀) ရပ်ကွက်,,,,သင်္ဃန်းကျွန်းကြီးကျေးရွာအုပ်စု,,ဒါးပိန် (တောင်) ကျေးရွာအုပ်စု,ဘိုးဒေါနကုန်းကျေးရွာအုပ်စု,ညွန့်ပေါင်းကျေးရွာအုပ်စု,ဖလုံကန်ကုန်းကျေးရွာအုပ်စု,,ခနောင် (ရွာမ) ကျေးရွာအုပ်စု,ရေဖြူတွင်းကျေးရွာအုပ်စု,ထီဖာကျေးရွာအုပ်စု,ကြည်တန်းကျေးရွာအုပ်စု,စစ်ပင်ကွင်းကျေးရွာအုပ်စု,ချောင်းဝကျေးရွာအုပ်စု,ကရင်ကန်ကျေးရွာအုပ်စု,သရောတောကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,အမှတ် (၁၆/၁) ရပ်ကွက်,,,,,,,,,အမှတ် (၁၄၆) ရပ်ကွက်,အမှတ် (၁၂၄) ရပ်ကွက်,အမှတ် (၁၅၁) ရပ်ကွက်,,,,,,ညောင်တခြမ်းကျေးရွာအုပ်စု,ညောင်နှစ်ပင်ကျေးရွာအုပ်စု,ကုန်းလှည်းဆိပ်ကျေးရွာအုပ်စု,ကြာအင်းကျေးရွာအုပ်စု,,ခနောင် (အထက်) ကျေးရွာအုပ်စု,နတ်စင်ကုန်းကျေးရွာအုပ်စု,ဒေးဒနောကျေးရွာအုပ်စု,တကလှဲ့ကျေးရွာအုပ်စု,ဘယက်ကျေးရွာအုပ်စု,ကွနှီးကျေးရွာအုပ်စု,ကန်ညီနောင်ကျေးရွာအုပ်စု,အဖောင်ကျေးရွာအုပ်စု,
