ကျောက်တံတား,ပန်းပဲတန်း,လမ်းမတော်,လသာ,ဒဂုံ,အလုံ,စမ်းချောင်း,ကြည့်မြင်တိုင်,ဗိုလ်တထောင်,ပုဇွန်တောင်,မင်္ဂလာတောင်ညွန့်,သာကေတ,ဒေါပုံ,တာမွေ,သင်္ဃန်းကျွန်း,ရန်ကင်း,တောင်ဥက္ကလာပ,ဗဟန်း,ကမာရွတ်,လှိုင်,မရမ်းကုန်း,မြောက်ဥက္ကလာပ,မြောက် ဒဂုံ,တောင်ဒဂုံ,အရှေ့ဒဂုံ,ဒဂုံဆိပ်ကမ်း,အင်းစိန်,လှိုင်သာယာအရှေ့ပိုင်း,လှိုင်သာယာအနောက်ပိုင်း,မင်္ဂလာဒုံ,ရွှေပြည်သာ,လှည်းကူး,မှော်ဘီ,ထန်းတပင်,တိုက်ကြီး,ဆိပ်ကြီးခနောင်တို,ဒလ,ကော့မှူး,ကွမ်းခြံကုန်း,တွံတေး,သန်လျင်,ကျောက်တန်း,ခရမ်း,သုံးခွ,ကိုကိုးကျွန်း
,,,,,,,,,,,,,,အမှတ် (၁၆/၂) ရပ်ကွက်,,,,,,,,,အမှတ် (၁၄၇) ရပ်ကွက်,အမှတ် (၁၂၅) ရပ်ကွက်,အမှတ် (၁၆၈) ရပ်ကွက်,,,,,,တံခွန်တိုင် (လှည်းကူး) ကျေးရွာအုပ်စု,ရိုးကြီးကျေးရွာအုပ်စု,တက်သစ်ကျေးရွာအုပ်စု,ဆင်စခန်းကျေးရွာအုပ်စု,,ခနောင် (ရှမ်းစု) ကျေးရွာအုပ်စု,မကျီးကန်ကျေးရွာအုပ်စု,ဒရယ်လူးကျေးရွာအုပ်စု,ရေကျော်ကျေးရွာအုပ်စု,ငါးဗြေမကျေးရွာအုပ်စု,ဇွဲဘာကုန်းတန်းကျေးရွာအုပ်စု,ကျွဲတလင်းကျေးရွာအုပ်စု,သဲကုန်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,အမှတ် (၁၆/၃) ရပ်ကွက်,,,,,,,,,အမှတ် (၁၅၂) ရပ်ကွက်,အမှတ် (၁၂၆) ရပ်ကွက် ,ကျေးရွာအုပ်စုများ,,,,,,ကျွန်းကုန်းကျေးရွာအုပ်စု,မိုးကြိုးပစ်ကျေးရွာအုပ်စု,ငှက်သိုက်ကျေးရွာအုပ်စု,ချင်းကုန်းကျေးရွာအုပ်စု,,တံတားချောင်းကျေးရွာအုပ်စု,မြောက်ချောင်ကျေးရွာအုပ်စု,ပီလခတ်ကျေးရွာအုပ်စု,တမာတေကာကျေးရွာအုပ်စု,င/ပ ကျေးရွာအုပ်စု,ညောင်ဝိုင်းကျေးရွာအုပ်စု,သက္ကယ်ကုန်းကျေးရွာအုပ်စု,ကျားဘိုကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,အမှတ် (၁၆/၄) ရပ်ကွက်,,,,,,,,,အမှတ် (၁၅၃) ရပ်ကွက် ,အမှတ် (၁၂၇) ရပ်ကွက်,ကျီစု (အရှေ့) ကျေးရွာအုပ်စု,,,,,,ဆားတလင်းကျေးရွာအုပ်စု,ရေပေါ်သဲ့ကျေးရွာအုပ်စု,စန္ဒယော်ကျေးရွာအုပ်စု,လိမ္မော်ခြံကျေးရွာအုပ်စု,,ရဲချောင်းကျေးရွာအုပ်စု,စမ်းကောက်ကျေးရွာအုပ်စု,ပကောက်ကျေးရွာအုပ်စု,တမံကြီးကျေးရွာအုပ်စု,သနပ်ပင်ကျေးရွာအုပ်စု,ရေကျော်ကျေးရွာအုပ်စု,ခမတ်ကျေးရွာအုပ်စု,အဇတ်ဝကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,ဆယ်သိန်း ရပ်ကွက်,,,,,,,,,အမှတ် (၁၅၄) ရပ်ကွက်,အမှတ် (၁၂၈) ရပ်ကွက် ,သရက်ပင်ချောင်ကျေးရွာအုပ်စု,,,,,,သနပ်ပြင်ကျေးရွာအုပ်စု,ယင်းတိုက်ပင်ကျေးရွာအုပ်စု,ထိန်ကုန်းကျေးရွာအုပ်စု,ပုတ္တကျေးရွာအုပ်စု,,သပြေကုန်းကျေးရွာအုပ်စု,တောင်ချောင်ကျေးရွာအုပ်စု,ပေကုန်းကျေးရွာအုပ်စု,ကန်ကျေးရွာအုပ်စု,ဗိုလ်ချုပ်ကျေးရွာအုပ်စု,ကြာကန်ကျေးရွာအုပ်စု,ကံဘဲ့ကျေးရွာအုပ်စု,ဘုရားကြီးကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,ကျီစုအနောက်ရပ်ကွက်,အမှတ် (၁၂၉) ရပ်ကွက်,ညောင်ပင်ကျေးရွာအုပ်စု,,,,,,ရှမ်းတဲကြီး (အထက်) ကျေးရွာအုပ်စု,သာယာကုန်းကျေးရွာအုပ်စု,ဝါးတရာ (အနောက်) ကျေးရွာအုပ်စု,ဖလုံဘူတာကျေးရွာအုပ်စု,,ညောင်ငုတ်တိုကျေးရွာအုပ်စု,လာဝတီကျေးရွာအုပ်စု,မှော်ဘီကျေးရွာအုပ်စု,ကုလားတန်းကျေးရွာအုပ်စု,ညောင်သုံးပင်ကျေးရွာအုပ်စု,ပါဒကြီးကျေးရွာအုပ်စု,ညောင်ပင်ကွင်းကျေးရွာအုပ်စု,တမံကြီးကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,ရွာသာကြီး (တောင်ပိုင်း) ရပ်ကွက်,စစ်ပင်တောင်ရပ်ကွက်,ဒလဘမ်းကျေးရွာအုပ်စု,,,,,,ဝါးရုံစွန်းကျေးရွာအုပ်စု,သဲကုန်းကျေးရွာအုပ်စု,ရခိုင်ရိုးကြီးကျေးရွာအုပ်စု,စပါးကိုင်းကျေးရွာအုပ်စု,,ထော် (အောက်) ကျေးရွာအုပ်စု,ဆပုဂံကျေးရွာအုပ်စု,မယ်ရကုန်းကျေးရွာအုပ်စု,မငေး (အလယ်) ကျေးရွာအုပ်စု,ဘုရားကုန်းကျေးရွာအုပ်စု,ဥယျာဥ်ကျေးရွာအုပ်စု,ပုဂံတောင်ကျေးရွာအုပ်စု,အဇန်းတောစွန်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,သုံးခွ (တောင်ပိုင်း) ရပ်ကွက်,တောင်တလုပ်ရပ်ကွက်,,,,,,,စွယ်လပ်ကျေးရွာအုပ်စု,လိပ်ပုတ်တောရွာကြီးကျေးရွာအုပ်စု,ဒိတ်ကုန်းကျေးရွာအုပ်စု,တောင်ရပ်ဇီးကုန်းကျေးရွာအုပ်စု,,ရဲချောင်းဝကျေးရွာအုပ်စု,လက်ခိုက်ကျေးရွာအုပ်စု,မန်းကလိပ်ကျေးရွာအုပ်စု,ဗျောက်ရိုးကျေးရွာအုပ်စု,လဟာယက်ကျေးရွာအုပ်စု,ရွှေပျောက်ကျေးရွာအုပ်စု,ပန်းတောချောင်ကျေးရွာအုပ်စု,ဖရုံကန်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,လေးထောင့်ကန် (တောင်ပိုင်း) ရပ်ကွက်,ရွာသာကြီး (အရှေ့ပိုင်း) ရပ်ကွက်,,,,,,,ဖဲခမဲကျေးရွာအုပ်စု,အထယုကျေးရွာအုပ်စု,ပရွတ်ကျေးရွာအုပ်စု,ဂေါ့ကျေးရွာအုပ်စု,,ပျော်ဘွယ်ကြီးကျေးရွာအုပ်စု,ကြာကန်ကျေးရွာအုပ်စု,မရမ်းကျေးရွာအုပ်စု,လက်ပံဂွကျေးရွာအုပ်စု,ကဒက်ဖျာကျေးရွာအုပ်စု,ပန်းတောကျေးရွာအုပ်စု,ဒေးပေါက်ကျေးရွာအုပ်စု,မိချောင်းကန်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,စိုက်ပျိုးမွေးမြူရေး အမှတ် (၁) ရပ်ကွက်,သုံးခွ (အရှေ့ပိုင်း) ရပ်ကွက်,,,,,,,ဒါးပိန် (မြောက်) ကျေးရွာအုပ်စု,အင်လျက်ကျေးရွာအုပ်စု,ကျွဲခြံရိုး (ကြိမ်ပိုက်ကြီး) ကျေးရွာအုပ်စု,ဥက္ကံရေသိုးကျေးရွာအုပ်စု,,ရွှေလှေချောင်ကျေးရွာအုပ်စု,ကိုးတောင်ကျေးရွာအုပ်စု,ရေတိမ်ကျေးရွာအုပ်စု,ကျွန်းကလေးကျေးရွာအုပ်စု,ညောင်လေးပင်ကျေးရွာအုပ်စု,ရွာသစ်ကလေးကျေးရွာအုပ်စု,ကရင်စုကျေးရွာအုပ်စု,တကောကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,ရှမ်းတဲကြီး (တောင်ပိုင်း) ရပ်ကွက်,အမှတ် (၁၃၀) ရပ်ကွက်,,,,,,,သခွတ်ပြင်ကျေးရွာအုပ်စု,ဆတ်သွားတောကျေးရွာအုပ်စု,ရေစိုကျေးရွာအုပ်စု,ကျွဲဘုတ်ကျေးရွာအုပ်စု,,ညောင်ပင်ကျေးရွာအုပ်စု,မျက်ဆံနီကျေးရွာအုပ်စု,လက်ခုပ်ကုန်းကျေးရွာအုပ်စု,အလပ်ချောင်းကျေးရွာအုပ်စု,ကုလားဝဲကျေးရွာအုပ်စု,မီးပြကျေးရွာအုပ်စု,ဘုရားပျိုကျေးရွာအုပ်စု,လက်ပန်ကျိုးကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၁) ရပ်ကွက်,,,,,,,မအူကျေးရွာအုပ်စု,,မြဂဲကျေးရွာအုပ်စု,ဒိုက်အင်းကျေးရွာအုပ်စု,,ကျွဲလူးအိုင်ကျေးရွာအုပ်စု,ဖရုံချောင်ကျေးရွာအုပ်စု,ဝက်ကိုက်ကျေးရွာအုပ်စု,ဂျောင်ဝိုင်းကျေးရွာအုပ်စု,ဆေးလုံးကြီးကျေးရွာအုပ်စု,ကမာကလုပ်ကျေးရွာအုပ်စု,ကွင်းလျားရှည်ကျေးရွာအုပ်စု,ရေပေါ်ကန်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၂) ရပ်ကွက်,,,,,,,တံခွန်တိုင် (အင်းစိန်) ကျေးရွာအုပ်စု,,ပန်းတိုင် (လက်ကြပ်) ကျေးရွာအုပ်စု,ပနီပင်ကျေးရွာအုပ်စု,,သမ္ဘာန်ချောင်းကျေးရွာအုပ်စု,ကန်သုံးကန်ကျေးရွာအုပ်စု,ဝါးကောက်တောကျေးရွာအုပ်စု,ပျော်ဘွယ်လေးကျေးရွာအုပ်စု,ချောင်းစောက်ကျေးရွာအုပ်စု,ခနောင်ကျေးရွာအုပ်စု,ထရန်ကန်ကျေးရွာအုပ်စု,သခွတ်ကုန်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၃) ရပ်ကွက် ,,,,,,,ဘားလားတံတားကြီးကျေးရွာအုပ်စု,,ကတွယ်ကျေးရွာအုပ်စု,ရေတွင်းကုန်းကျေးရွာအုပ်စု,,ထူးကြီးကျေးရွာအုပ်စု,ထမ္မနိုင်ကျေးရွာအုပ်စု,သုံးခွကျေးရွာအုပ်စု,ပိတ်စွယ်ကျေးရွာအုပ်စု,,စင်မကော်ကျေးရွာအုပ်စု,သပြုကန်ကျေးရွာအုပ်စု,ရှမ်းစုကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၄) ရပ်ကွက်,,,,,,,ဆင်ဖုံကျေးရွာအုပ်စု,,ကျွဲကူးကျေးရွာအုပ်စု,ဖလုံရွာမကျေးရွာအုပ်စု,,သရောတန်းကျေးရွာအုပ်စု,ညောင်ပင်သာကျေးရွာအုပ်စု,သပြုစမ်းကျေးရွာအုပ်စု,ရန်ကုန်ပေါက်ကျေးရွာအုပ်စု,,ပန်းချောင်းကျေးရွာအုပ်စု,ပလူကန်ကျေးရွာအုပ်စု,ကွန်ကလကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၅) ရပ်ကွက်,,,,,,,စစ်ပင် (မြောက်) ကျေးရွာအုပ်စု,,ဘူးသနွတ်ကျေးရွာအုပ်စု,ကွမ်းခြံကုန်းကျေးရွာအုပ်စု,,,ဘို့ဒင်ကျေးရွာအုပ်စု,သဲကုန်းတန်းကျေးရွာအုပ်စု,ကြိုက်သလဲကျေးရွာအုပ်စု,,တာပတ်ကျေးရွာအုပ်စု,တကောကန်ကျေးရွာအုပ်စု,ပုဂံတောင်စုကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၆) ရပ်ကွက်,,,,,,,မလစ် (အနောက်) ကျေးရွာအုပ်စု,,မရွှေဥကျေးရွာအုပ်စု,ကြီးပင်လဟာကျေးရွာအုပ်စု,,,ပျားမွှတ်ကျေးရွာအုပ်စု,သောင်ခုန်ကျေးရွာအုပ်စု,ဘုရားကြီးကျေးရွာအုပ်စု,,ကဒပ်ပနကျေးရွာအုပ်စု,ကျီနီချောင်ကျေးရွာအုပ်စု,ပတုပ်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၇) ရပ်ကွက်,,,,,,,ဇီးပင်ဝဲကျေးရွာအုပ်စု,,အစုကြီးကျေးရွာအုပ်စု,ဥက္ကံကံကုန်းကျေးရွာအုပ်စု,,,ဝါးဘလောက်သောက်ကျေးရွာအုပ်စု,အင်္ဂလုံးကျေးရွာအုပ်စု,ပေါက်တောကျေးရွာအုပ်စု,,ဝင်းကြီးကျေးရွာအုပ်စု,ပျဥ်းမကုန်းကျေးရွာအုပ်စု,ဇွဲထော်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၈) ရပ်ကွက်,,,,,,,မုဆိုးညောင်ပင်ကျေးရွာအုပ်စု,,တူးချောင်းကျေးရွာအုပ်စု,ဥက္ကံရွာမကျေးရွာအုပ်စု,,,မဝန်းကျေးရွာအုပ်စု,,ဘုရားငုတ်တို (တောင်) ကျေးရွာအုပ်စု,,စစ်တန်းကျေးရွာအုပ်စု,ကြာကန်ကျေးရွာအုပ်စု,ထုံးကြီးကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၃၉) ရပ်ကွက်,,,,,,,လက်ပန်ကျေးရွာအုပ်စု,,တော်လတဲ့ကျေးရွာအုပ်စု,မီးနင်းကံကုန်းကျေးရွာအုပ်စု,,,ကျွဲလူးအိုင်ကျေးရွာအုပ်စု,,ဘုရားငုတ်တို (မြောက်) ကျေးရွာအုပ်စု,,ပုတ္တလုပ်ကျေးရွာအုပ်စု,ပလူကျေးရွာအုပ်စု,ကုန်းခလာကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၅၅) ရပ်ကွက်,,,,,,,ပိုက်ကြီးဝဲကျေးရွာအုပ်စု,,အလိန်လည်ကျေးရွာအုပ်စု,ကင်းပတီးကျေးရွာအုပ်စု,,,ကမာကနီးကျေးရွာအုပ်စု,,ကန်ဘဲ့ကျေးရွာအုပ်စု,,မရမ်းဘေးကျေးရွာအုပ်စု,အောင်ချမ်းသာကျေးရွာအုပ်စု,ကတုံးပေါ် (အထက်) ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၅၆) ရပ်ကွက်,,,,,,,ဘိုးရင်ကလေးကျေးရွာအုပ်စု,,ကျူတောကျေးရွာအုပ်စု,အိုင်ကြီးကျေးရွာအုပ်စု,,,သခွတ်ပင်ကျေးရွာအုပ်စု,,စမ်းကျေးရွာအုပ်စု,,ရှမ်းချောင်းကျေးရွာအုပ်စု,ဘိုကလေးကျေးရွာအုပ်စု,ကတုံးပေါ် (အလယ်) ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၅၇) ရပ်ကွက်,,,,,,,အဝိုင်း (အနောက်) ကျေးရွာအုပ်စု,,ကြာအင်းကျေးရွာအုပ်စု,ယင်းတိုက်လေးပင်ကျေးရွာအုပ်စု,,,ကျုံဒရယ်ကျေးရွာအုပ်စု,,အရိုးတောင်ကျေးရွာအုပ်စု,,တူးမြောင်းကျေးရွာအုပ်စု,ဆင်ကျွန်းကျေးရွာအုပ်စု,လက်ပံချောင်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၅၈) ရပ်ကွက်,,,,,,,မင်းကုန်းကျေးရွာအုပ်စု,,ဓနဲရိကျေးရွာအုပ်စု,ဘွက်ကုန်းကျေးရွာအုပ်စု,,,ကျူတောချောင်ကျေးရွာအုပ်စု,,ကျွန်းဘက်ကျေးရွာအုပ်စု,,တမံကြီးကုန်းကျေးရွာအုပ်စု,ကံကောင်းကျေးရွာအုပ်စု,မကျီးပင်ချောင်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၅၉) ရပ်ကွက်,,,,,,,ငါးဆူတောင်ကျေးရွာအုပ်စု,,ဆတ်ကလေးကျေးရွာအုပ်စု,တောင်ဘို့လှကျေးရွာအုပ်စု,,,ခရိုက်ခနိကျေးရွာအုပ်စု,,ကပင်ကြီးကျေးရွာအုပ်စု,,အောင်ချမ်းသာကျေးရွာအုပ်စု,ရေကျော်ကျေးရွာအုပ်စု,ကိုင်းကုန်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၆၀) ရပ်ကွက်,,,,,,,မရမ်းချောင်ကျေးရွာအုပ်စု,,ရေဖြူကျေးရွာအုပ်စု,ဥက္ကံရှမ်းစုကျေးရွာအုပ်စု,,,ထန်းတပင်ကျေးရွာအုပ်စု,,ကျောင်းစုကျေးရွာအုပ်စု,,ကုလားတန်းကျေးရွာအုပ်စု,အုန်းပင်ကျေးရွာအုပ်စု,ကျွဲတဲကုန်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၆၁) ရပ်ကွက်,,,,,,,ငွေနံ့သာကျေးရွာအုပ်စု,,တံတားဦးကျေးရွာအုပ်စု,ပျဥ်းမကုန်းကျေးရွာအုပ်စု,,,သမင်ခြံကျေးရွာအုပ်စု,,အလယ်ချောင်းကျေးရွာအုပ်စု,,ဘိုကုန်းကျေးရွာအုပ်စု,ညောင်လန်းကျေးရွာအုပ်စု,ညောင်ပင်ခင်တန်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၆၂) ရပ်ကွက်,,,,,,,,,,ရေတာလေးကျေးရွာအုပ်စု,,,တာတိုက်ကျေးရွာအုပ်စု,,ဂယက်လမီးကျေးရွာအုပ်စု,,ဇီးဖြူပင်ကျေးရွာအုပ်စု,ဆင်မင်းအိုင်ကျေးရွာအုပ်စု,အလန်းကုန်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၆၃) ရပ်ကွက် ,,,,,,,,,,သပြေကုန်းကျေးရွာအုပ်စု,,,ဆားတိုင်မွှတ်ကျေးရွာအုပ်စု,,ရွှေလှေချောင် (တွံ) ကျေးရွာအုပ်စု,,,ကင်းမွန်းခြုံကျေးရွာအုပ်စု,စစ်ကုန်းတောစွန်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,အမှတ် (၁၆၄) ရပ်ကွက်,,,,,,,,,,သာယာကုန်းကျေးရွာအုပ်စု,,,သရက်တောကျေးရွာအုပ်စု,,ပြဿတိုက်ကျေးရွာအုပ်စု,,,ဇီးဖြူပင်ကျေးရွာအုပ်စု,တင်းတောင်းချောင်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,ကျေးရွာအုပ်စုများ,,,,,,,,,,ကမ်းမြောင်ကျေးရွာအုပ်စု,,,,,အတွင်းရေကျော်ကျေးရွာအုပ်စု,,,ကျုံကန်ကျေးရွာအုပ်စု,မှိုကုန်းသာကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,ရှမ်းတဲကြီးကျေးရွာအုပ်စု,,,,,,,,,,တဘူးရေသိုးကျေးရွာအုပ်စု,,,,,ကဒုံကျေးရွာအုပ်စု,,,ညောင်ပင်သာကျေးရွာအုပ်စု,အောင်ပန်းစိန်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,မလစ်ကျေးရွာအုပ်စု,,,,,,,,,,ဂုံညင်းတန်းကျေးရွာအုပ်စု,,,,,ငှက်ပျောစမ်းကျေးရွာအုပ်စု,,,စခန်းကြီးကျေးရွာအုပ်စု,အောင်သာဒန်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,လေးထောင့်ကန်ကျေးရွာအုပ်စု,,,,,,,,,,စမ်းကျေးရွာအုပ်စု,,,,,ခလုပ်ကျေးရွာအုပ်စု,,,ကံသာကျေးရွာအုပ်စု,သြဘာညွန့်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ချောင်းစောက်ကျေးရွာအုပ်စု,,,,,ဝက်ချောင်းကျေးရွာအုပ်စု,,,,ဘိတ်သိတ်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ကြိုချောင်းကျေးရွာအုပ်စု,,,,,ရှမ်းစုကျေးရွာအုပ်စု,,,,မဟာမိတ်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ပန်းပင်တန်းကျေးရွာအုပ်စု,,,,,ထော်သိုကျေးရွာအုပ်စု,,,,ဟေမဇလာကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,တော်လတီကျေးရွာအုပ်စု,,,,,မရမ်းတပင်ကျေးရွာအုပ်စု,,,,မင်းရွာအသင်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ဖက်ဝန်းကုန်းကျေးရွာအုပ်စု,,,,,မာလကာရာဘာခွံကျေးရွာအုပ်စု,,,,သမ္မစိတ္တကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,အလဘုတ်ကျေးရွာအုပ်စု,,,,,တလုတ္ထော်ကျေးရွာအုပ်စု,,,,သာသာမြိုင်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,မင်းလှဝကျေးရွာအုပ်စု,,,,,ရန်ကုန်ရာဘာခြံကျေးရွာအုပ်စု,,,,သာဂရကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ဆင်ခြံကျေးရွာအုပ်စု,,,,,,,,,ထွန်းစိန်အသင်းကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,တော်ခရမ်းကျေးရွာအုပ်စု,,,,,,,,,ဇောတိကကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ခွန်နှစ်ကြိုက် (အရှေ့) ကျေးရွာအုပ်စု,,,,,,,,,ရန်ကြီးအောင်ကျေးရွာအုပ်စု,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ခွန်နှစ်ကြိုက် (အနောက်) ကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,လှိုင်ကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ဘိန္ဒောကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ကန်ကလေး (အေ) ကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ဘောလကွတ်ကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ချောင်းသုံးခွကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ကလော့သော့ကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ကြုံတကင်းကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,အင်းတရာကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,အောက်ရေကန်ကုန်းကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ကတိုင်စိန်ကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ဖိုးခေါင်ကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,အထရောင်ကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ရေတွင်းဖြူကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ရေပေါ်သောင်ကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ကြွေပန်းကန်ချောင်းကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ငါးလာချောင်းကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,သဲဖြူကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,မိုးကုလားကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,အုန်းပင်ကွင်းကျေးရွာအုပ်စု,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,မလေးရှားဝိုင်ကျေးရွာအုပ်စု,,,,,,,,,,
